COMMAND     PID                 USER   FD      TYPE             DEVICE  SIZE/OFF                NODE NAME
python3.1 20957 borjafernandezangulo  txt       REG               1,13    454896           361671923 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/aiohttp/_http_parser.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13    256992           361671931 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/aiohttp/_websocket/reader_c.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13    114640           361691203 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/scipy/_lib/_ccallback_c.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13     77336           361691087 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/scipy/special/_comb.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13    455088           361699023 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/lxml/_elementpath.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13    736824           361676160 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/81d243bd2c585b0f4821__mypyc.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13    161896           353988303 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/sqlite_vec/vec0.dylib
python3.1 20957 borjafernandezangulo  txt       REG               1,13    120656           361691343 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/scipy/_lib/_uarray/_uarray.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13    169968           361690504 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/scipy/_cyutility.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13    133456           354017336 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/numpy/random/_pcg64.cpython-312-darwin.so
