file,commit_count
10_PROJECTS/epistemic-compiler/epistemic_engine/tests/fail_generated/fuzz_23.stderr,5
10_PROJECTS/epistemic-compiler/epistemic_engine/tests/fail_generated/fuzz_18.stderr,5
10_PROJECTS/epistemic-compiler/epistemic_engine/tests/fail_generated/fuzz_16.stderr,5
10_PROJECTS/epistemic-compiler/epistemic_engine/tests/fail_generated/fuzz_00.stderr,5
10_PROJECTS/epistemic-compiler/epistemic_engine/examples/poc_science.rs,5
10_PROJECTS/anglomorph/ontology/primitives.md,5
10_PROJECTS/anglomorph/ontology/invariants.md,5
.gemini/config/skills/resolve_skill.py,5
.gemini/config/skills/ouroboros-infinity/SKILL.md,5
.gemini/config/skills/build_skills_inventory.py,5
.gemini/config/skills/Apollo-Extractor-OMEGA/scripts/dork_extractor.py,5
.gemini/config/skills/Apollo-Autodidact-OMEGA/scripts/autodidact.py,5
.gemini/config/skills/API-Sentinel-OMEGA/scripts/sentinel.py,5
tests/test_thermo_ast_pruner.py,4
tests/test_onco_transducer.py,4
tests/test_ledger_resilience.py,4
tests/test_io_persist_ledger.py,4
tests/test_ide_inference.py,4
tests/apex/test_ledger.py,4
tests/apex/test_fitted.py,4
strike_rs/src/bindings.rs,4
strike_rs/src/bin/re_drm_1000_bft.rs,4
strike_rs/src/bin/bft_interceptor.rs,4
src-tauri/target/.rustc_info.json,4
src-tauri/src/llm_bridge.rs,4
src-tauri/Cargo.lock,4
secret_audit.sarif,4
scripts/prigogine_boltzmann_simulation.py,4
scripts/fetch_missing_dates.py,4
scripts/demo_exergy_poc.py,4
scripts/conformance_test.py,4
scripts/centuria_swarm_commander.py,4
scripts/bootstrap_cortex_memory.py,4
scripts/automejora_1000_cache.py,4
scratch/gdpr_broker_blaster.py,4
reconstruccion_resultados.csv,4
receipt_sha3_256.json,4
module_models.json,4
fitted_weights.json,4
fit_text.py,4
fit_temporal.py,4
docs/substack_luhmann.md,4
cortex_purge_anergy.py,4
cortex_mamba_inference.py,4
cortex/training/baby-long/data/train.jsonl,4
cortex/telemetry/ttft_measurement.py,4
cortex/scripts/sanitize_ipi_payloads.py,4
cortex/scripts/sandbox_stress/stress_operon.py,4
cortex/scripts/mac_browser_cdp_hijack.py,4
cortex/scripts/autocatalytic_10000x_loop.py,4
cortex/ontology/antipatrones_origen.yaml,4
cortex/ontologies/oncology_300_primitives.yaml,4
cortex/engine/test_centuria_transducer.py,4
cortex/engine/ingest_matrix/Cargo.toml,4
cortex/engine/frontier_evolution_transducer.py,4
cortex/engine/cortex_zerocopy_wal_watchdog.py,4
cortex/engine/centuria_transducer_core.py,4
cortex/engine/C5_REAL_Binary_Pool/out_of_process_watchdog.py,4
cortex/daemons/github_mass_isolation.py,4
cortex/audits/anergy_purge_audit.yaml,4
cortex/audits/AUDITORIA_JURIDICA_PROPIEDAD_INTELECTUAL_BABYLON60.md,4
cortex/agents/voice/stt.py,4
cortex/agents/voice/pipeline.py,4
cortex/agents/phylo/__main__.py,4
cortex/agents/ontology/video_utbh_destruccion_1000.yaml,4
cortex/agents/ontology/validate_ontology.py,4
cortex/agents/ontology/ts_algorithmic_strike_matrix_utbh.yaml,4
cortex/agents/ontology/transmision_lorena_concerta.md,4
cortex/agents/ontology/teorema_colapso_uuk.md,4
cortex/agents/ontology/detect_convergences_extended.py,4
cortex/agents/ontology/detect_convergences.py,4
cortex/agents/ontology/convert_yaml_to_md.py,4
cortex/agents/ontology/caso_estudio_green_theater_claude.md,4
cortex/agents/ontology/autodidact_crystallizer.py,4
cortex/agents/ontology/apoptosis_target.yaml,4
cortex/agents/ontology/02_INVARIANTES_TERMODINAMICAS.md,4
cortex/agents/babylon_engine.py,4
cortex/agents/autonomic_daemon.py,4
cortex/agents/arsenal_896/centuria_meta_transducer.py,4
core_graph_ledger.py,4
cli/llm-attest.py,4
c5_remotion_video/public/pirri.jpg,4
c5_remotion_video/public/david.jpg,4
c5_remotion_video/public/constantino.jpg,4
c5_remotion_video/public/bttf.jpg,4
build_dataset.py,4
babylon60/utils,4
babylon60/extensions,4
babylon60/database/tlru_cache.py,4
babylon60/crypto,4
babylon60/cli/attest_character_count.py,4
babylon60-ide/frontend/src/api.js,4
babylon60-ide/backend/routes/telemetry.py,4
babylon60-ide/backend/routes/sentinel.py,4
babylon60-ide/backend/routes/query.py,4
babylon60-ide/backend/routes/ledger.py,4
babylon60-ide/backend/routes/delegation.py,4
automejora_1000_cache.py,4
apex_trials/features.py,4
apex_trials/ctgov.py,4
analysis/isomorfismo_validador_vf2.py,4
README_APEX.md,4
COLD_STORAGE/cortex-config/workflows/token-hygiene.md,4
COLD_STORAGE/cortex-config/workflows/speed.md,4
COLD_STORAGE/cortex-config/workflows/speed-parallel.md,4
COLD_STORAGE/cortex-config/workflows/pulir.md,4
COLD_STORAGE/cortex-config/workflows/manifiesto-omega.md,4
COLD_STORAGE/cortex-config/workflows/guardian.md,4
COLD_STORAGE/cortex-config/workflows/gem-forge.md,4
COLD_STORAGE/cortex-config/workflows/autonomo.md,4
AUDITORIA_CENTURIA.md,4
10_PROJECTS/epistemic-compiler/epistemic_engine/tests/pass_generated/fuzz_49.rs,4
10_PROJECTS/epistemic-compiler/epistemic_engine/tests/pass_generated/fuzz_48.rs,4
10_PROJECTS/epistemic-compiler/epistemic_engine/tests/pass_generated/fuzz_47.rs,4
10_PROJECTS/epistemic-compiler/epistemic_engine/tests/pass_generated/fuzz_46.rs,4
10_PROJECTS/epistemic-compiler/epistemic_engine/tests/pass_generated/fuzz_45.rs,4
10_PROJECTS/epistemic-compiler/epistemic_engine/tests/pass_generated/fuzz_44.rs,4
10_PROJECTS/epistemic-compiler/epistemic_engine/tests/pass_generated/fuzz_43.rs,4
10_PROJECTS/epistemic-compiler/epistemic_engine/tests/pass_generated/fuzz_42.rs,4
10_PROJECTS/epistemic-compiler/epistemic_engine/tests/pass_generated/fuzz_41.rs,4
10_PROJECTS/epistemic-compiler/epistemic_engine/tests/pass_generated/fuzz_40.rs,4
10_PROJECTS/epistemic-compiler/epistemic_engine/tests/pass_generated/fuzz_39.rs,4
10_PROJECTS/epistemic-compiler/epistemic_engine/tests/pass_generated/fuzz_38.rs,4
10_PROJECTS/epistemic-compiler/epistemic_engine/tests/pass_generated/fuzz_37.rs,4
10_PROJECTS/epistemic-compiler/epistemic_engine/tests/pass_generated/fuzz_36.rs,4
10_PROJECTS/epistemic-compiler/epistemic_engine/tests/pass_generated/fuzz_35.rs,4
10_PROJECTS/epistemic-compiler/epistemic_engine/tests/pass_generated/fuzz_34.rs,4
10_PROJECTS/epistemic-compiler/epistemic_engine/tests/pass_generated/fuzz_33.rs,4
